position,title,episodes,release_date,members,score,details
109.0,Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,224526,8.53,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
110.0,Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,2597573,8.53,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
111.0,Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,1768683,8.53,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
112.0,Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,191271,8.53,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
113.0,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,215221,8.52,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
114.0,Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,791722,8.52,https://myanimelist.net/anime/30484/Steins_Gate_0
115.0,Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,151048,8.52,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
116.0,Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,181666,8.52,https://myanimelist.net/anime/35843/Gintama__Porori-hen
117.0,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,341309,8.51,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
118.0,Hotaru no Haka,Movie (1 eps),Apr 1988 - Apr 1988,602752,8.51,https://myanimelist.net/anime/578/Hotaru_no_Haka
119.0,One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,2912178,8.51,https://myanimelist.net/anime/30276/One_Punch_Man
120.0,Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,1138465,8.5,https://myanimelist.net/anime/205/Samurai_Champloo
121.0,Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,2425425,8.5,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
122.0,Uchuu Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,180885,8.5,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
123.0,Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,1291164,8.5,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
124.0,Banana Fish,TV (24 eps),Jul 2018 - Dec 2018,756341,8.5,https://myanimelist.net/anime/36649/Banana_Fish
125.0,Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,73652,8.5,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
126.0,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,988457,8.5,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
127.0,Jujutsu Kaisen 0 Movie,Movie (1 eps),Dec 2021 - Dec 2021,558485,8.5,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
